СОАТО,Категория (краткая),Наименование объекта,Категория и наименование административного центра
2238000000,р-н,Полоцкий,г. Полоцк
2238501000,г.,Полоцк,
2238808000,с/с,Азинский,д. Азино
2238808001,д.,Азино,
2238808006,д.,Артейковичи,
2238808009,д.,Бело-Матейково,
2238808011,д.,Борки,
2238808016,д.,Боровцы,
2238808021,д.,Владычино,
2238808023,д.,Грамоще,
2238808026,д.,Дохноры,
2238808031,д.,Званое,
2238808036,д.,Кательна,
2238808037,д.,Кевлы,
2238808038,д.,Константиново,
2238808039,д.,Кочережино,
2238808041,д.,Лагуны,
2238808046,д.,Ларковцы,
2238808051,д.,Лисуны,
2238808052,д.,Матейково,
2238808053,аг.,Матюши,
2238808054,д.,Новые Замшаны,
2238808055,д.,Парфеновцы,
2238808056,д.,Рудня,
2238808057,д.,Перхальщина,
2238808059,д.,Рябиновка,
2238808061,д.,Сельцо-Белое,
2238808066,д.,Тиновка,
2238813000,с/с,Бабыничский,д. Бабыничи
2238813001,д.,Антоновичи,
2238813006,д.,Березинец,
2238813011,д.,Бабыничи,
